timestamp,username,result,mse,ip,userAgent,reason
2025-09-13T12:59:27.320Z,dkk,Pass,0.020335991402796825,::1,"node",
2025-09-13T12:59:28.513Z,dkk,Pass,0.020335991402796825,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T12:59:35.335Z,dkk,Fail,188.88092150742239,::1,"node",
2025-09-13T12:59:36.045Z,dkk,Fail,188.88092150742239,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T12:59:36.732Z,dkk,Fail,188.88092150742239,::1,"node",
2025-09-13T12:59:38.050Z,dkk,Fail,188.88092150742239,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T13:00:05.861Z,dkk,Fail,,::1,"node",
2025-09-13T13:00:06.339Z,dkk,Fail,,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T13:17:43.878Z,king,Pass,0.02547178754700051,::1,"node",
2025-09-13T13:17:44.381Z,king,Pass,0.02547178754700051,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T13:17:52.149Z,king,Fail,136499.3779231626,::1,"node",
2025-09-13T13:17:52.686Z,king,Fail,136499.3779231626,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T13:17:56.985Z,king,Fail,,::1,"node",
2025-09-13T13:17:57.445Z,king,Fail,,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T13:19:30.607Z,king,Fail,,::1,"node",
2025-09-13T13:19:31.097Z,king,Fail,,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:15:55.191Z,ram,Pass,0.007942882806850007,::1,"node",
2025-09-13T15:15:56.248Z,ram,Pass,0.007942882806850007,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:16:08.293Z,ram,Fail,2320977.4615039486,::1,"node",
2025-09-13T15:16:09.003Z,ram,Fail,2320977.4615039486,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:16:46.092Z,ram,Fail,,::1,"node",
2025-09-13T15:16:46.877Z,ram,Fail,,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36",
2025-09-13T15:19:26.489Z,ram,Fail,0.2963167649100632,::1,"node",
